domain,revenue
www.dailymotion.com,86138.2007174
www.worldlifestyle.com,69015.3878449
www.leaguesecretary.com,34642.2261939
slader.com,32013.9583247
www.patheos.com,30570.7754582
webmaila.juno.com,30343.7122554
www.boston.com,29544.3959419
www.lifebuzz.com,28866.602595
footballscoop.com,26060.6266607
all-that-is-interesting.com,21577.4019879
www.afternoonspecial.com,20313.6343963
webmailb.juno.com,19466.8479277
webmailb.netzero.net,19136.6652133
living.alot.com,19086.2506004
allnight.com,17387.9644781
www.weekendcollective.com,14971.6449658
www.yourdailydish.com,14160.6373217
www.dunzo.net,12899.5311062
www.hrtwarming.com,12555.9788842
www.theamericanmirror.com,12430.5109131
www.soompi.com,12262.9171626
runt-of-the-web.com,11862.510676
www.popyard.com,11834.3162065
www.experienceproject.com,11537.3319931
www.landandfarm.com,11195.2368352
movieweb.com,11021.8035063
shareably.net,10776.4573756
viralvinny.com,10352.7228125
www.disneydining.com,9738.48313032
blindgossip.com,9732.13674107
blackgirllonghair.com,9530.27602532
www.technicpack.net,9489.9568705
thefrugalgirls.com,9361.73116311
countryoutfitter.life,9307.51020172
www.thebrofessional.net,9226.83026476
www.saturdaydownsouth.com,8937.43375949
www.lifehack.org,8684.54177844
www.hotslogs.com,8585.8435161
www.brainfall.com,8547.89745569
www.carolinahuddle.com,8425.58855533
atrl.net,7807.72074974
www.mocospace.com,7656.73258312
nerdist.com,7398.25884131
www.dcurbanmom.com,7237.58159473
www.dinarguru.com,6898.87874199
ffxiv.gamerescape.com,6749.52602911
triblive.com,6577.0072137
www.totallytarget.com,6538.96428621
guff.com,6444.4342708
bulbapedia.bulbagarden.net,6424.96404399
www.motherearthnews.com,6274.70128477
www.e-chords.com,6152.28071043
www.knittingparadise.com,6120.60598745
listenonrepeat.com,6018.69343427
www.tweakingtricks.com,6004.0775203
www.brainjet.com,5942.67927245
www.clipd.com,5911.67964348
www.wcax.com,5838.22588748
www.destinylfg.com,5832.01599745
www.urbantabloid.com,5793.06300927
www.1001fonts.com,5573.7197362
memes.com,5569.48811023
ark.gamepedia.com,5443.81534457
sportspyder.com,5326.91922713
sc-s.com,5177.38372768
www.disneyfanatic.com,5167.21219567
www.newsbarber.com,5093.32505398
www.news4jax.com,4994.6550179
www.diffen.com,4790.04852591
www.motherjones.com,4699.42069812
divascancook.com,4678.94888302
www.cuded.com,4614.60996993
www.irishsportsdaily.com,4486.83927402
jellyshare.com,4320.27735139
www.laughfactory.com,4290.50872601
www.dailyfailcenter.com,4266.41808303
daystyles.com,4160.36779243
forum.notebookreview.com,4096.09773456
griffinsguide.com,4052.05337326
www.fangraphs.com,4020.82697726
www.sportsplays.com,3990.41203414
www.dogsnow.com,3902.1542144
openstudy.com,3871.75643644
www.jaynestars.com,3860.05201421
www.carcomplaints.com,3811.92772227
www.oola.com,3745.85019021
www.ultracontest.com,3724.30559702
view.thespectrum.net,3689.67250031
www.geekfill.com,3658.02719909
www.101cookingfortwo.com,3630.07290175
sportschew.com,3621.91790883
mydotcomrade.com,3583.08015244
priuschat.com,3533.61485134
www.mangainn.me,3430.81620937
www.wdwinfo.com,3363.77646485
findagrave.com,3315.22660677
www.liketotally80s.com,3283.43940966
footyroom.com,3235.5808234
design.tutsplus.com,3204.96548734
thesportsdrop.com,3166.3234084
www.golfwrx.com,3148.26381922
powernationtv.com,3078.48604901
paleomg.com,3061.05505361
www.stylebistro.com,2972.6615417
www.thecrazytourist.com,2965.02821676
www.momswhothink.com,2882.78631559
www.pedigreedatabase.com,2828.06458774
www.zmescience.com,2817.36817893
degenerate.info,2806.04552272
www.jpost.com,2796.76127125
tweettunnel.com,2789.60129167
www.topdrawersoccer.com,2773.4023137
www.guitarplayer.com,2749.83416859
minecraftforum.net,2707.38946015
lolskill.net,2642.36354905
www.warcraftpets.com,2625.35164329
www.maangchi.com,2618.82194258
www.racedepartment.com,2560.45779046
www.inquirer.net,2556.8858777
www.topspeed.com,2515.65049956
sitepoint.com,2515.43546883
www.chipandco.com,2482.91595077
www.pythonforbeginners.com,2469.70879488
lolnexus.com,2432.14211142
www.decodethis.com,2410.97129248
sportshoop.la,2399.00090165
www.winprizesonline.com,2386.54858821
www.hemmings.com,2380.35265716
mail2web.com,2378.17358772
health.alot.com,2348.99651338
matadornetwork.com,2289.56371931
satwcomic.com,2243.55400949
portcanaveralwebcam.com,2235.33962792
www.azaleasdolls.com,2190.86512795
www.tvfoodmaps.com,2160.12109692
reactshare.com,2108.19217136
thehealthyfoodie.com,2041.54859647
in5d.com,2002.58025205
www.allpar.com,2000.69838886
obits.syracuse.com,1999.84831126
mingle2.com,1996.84329686
www.wrappedinrust.com,1996.42692339
quizdoo.com,1987.97756556
obits.nj.com,1951.4510312
allnurses.com,1948.77917561
visihow.com,1938.06339631
discovermagazine.com,1903.64831371
everydaylife.globalpost.com,1880.54315817
www.cafepharma.com,1874.90861907
www.ahaparenting.com,1865.25301754
forums.superiorpics.com,1862.72032807
www.abeautifulmess.com,1839.39801988
www.spriters-resource.com,1805.01674001
www.lowkickmma.com,1738.26212923
radiopaedia.org,1737.74471625
www.huskermax.com,1731.77324829
www.golsn.com,1720.66045359
overthecap.com,1708.54693378
grist.org,1700.65597204
www.carls-sims-4-guide.com,1685.19334203
www.copypastecharacter.com,1620.25718126
whatismyipaddress.com,1589.65309832
www.mapmyride.com,1558.97013651
housewifehowtos.com,1517.00191898
www.al.com,1482.60867092
techforluddites.com,1476.47250141
www.usedvictoria.com,1470.00578995
www.craftpassion.com,1461.87729144
www.minnesota-scores.net,1455.52524701
letthebakingbeginblog.com,1452.39766725
www.yummytummyaarthi.com,1451.46081443
www.phonevalidator.com,1425.40381967
www.cakewrecks.com,1424.91110576
www.thesamba.com,1394.57291113
thecozyapron.com,1377.38537377
www.tarot.com,1372.57797217
theinterrobang.com,1352.44840301
www.bulldawgillustrated.com,1349.9633541
www.uni-watch.com,1343.80708202
www.lawyersgunsmoneyblog.com,1334.18621644
www.supercheats.com,1329.87609259
obits.masslive.com,1329.82631054
www.factmonster.com,1310.22052637
www.neopets.com,1310.04969518
www.grubgrade.com,1307.16615178
homemadehooplah.com,1273.10130894
theamericanmirror.com,1256.41661813
askkissy.com,1248.60145348
www.fitstylelife.com,1247.67824173
my.monster.com,1207.08615414
nigeriaworld.com,1206.78636212
webmailab.netzero.net,1198.87634905
f1fanatic.co.uk,1192.56217159
insideevs.com,1185.45589264
